trend_id,school_id,academic_year,num_applications,num_accepted,num_enrolled,acceptance_rate,enrollment_rate,country
NGA_SCH_011382_ADM_2024,NGA_SCH_011382,2024/2025,1009,948,833,0.939580364,0.879482522,Nigeria
NGA_SCH_001878_ADM_2021,NGA_SCH_001878,2021/2022,,946,786,0.832554235,0.831708773,Nigeria
NGA_SCH_002309_ADM_2014,NGA_SCH_002309,2014/2015,950,687,632,0.723350447,0.920917236,Nigeria
NGA_SCH_010522_ADM_2023,NGA_SCH_010522,2023/2024,1044,979,902,0.937742805,0.921698216,Nigeria
NGA_SCH_004701_ADM_2021,NGA_SCH_004701,2021/2022,784,464,399,,0.859980945,Nigeria
NGA_SCH_003710_ADM_2024,NGA_SCH_003710,2024/2025,1901,1731,1620,0.910728874,0.936248703,Nigeria
NGA_SCH_002961_ADM_2017,NGA_SCH_002961,2017/2018,1436,639,549,0.445408926,0.85971052,Nigeria
NGA_SCH_009296_ADM_2022,NGA_SCH_009296,2022/2023,821,556,489,0.67808671,0.881143398,Nigeria
NGA_SCH_006058_ADM_2019,NGA_SCH_006058,2019/2020,922,422,,0.458414226,0.933460014,Nigeria
NGA_SCH_008862_ADM_2023,NGA_SCH_008862,2023/2024,1894,1763,1369,0.93098036,0.776747868,Nigeria
NGA_SCH_000548_ADM_2019,NGA_SCH_000548,2019/2020,417,278,263,0.668297415,0.947466871,Nigeria
NGA_SCH_010004_ADM_2017,NGA_SCH_010004,2017/2018,368,223,168,0.606352554,0.755270287,Nigeria
NGA_SCH_004186_ADM_2022,NGA_SCH_004186,2022/2023,1151,604,440,0.525461384,0.728880901,Nigeria
NGA_SCH_001427_ADM_2019,NGA_SCH_001427,2019/2020,854,354,294,0.415267488,0.83145581,Nigeria
NGA_SCH_004177_ADM_2022,NGA_SCH_004177,2022/2023,570,359,272,,0.759899514,Nigeria
NGA_SCH_008278_ADM_2021,NGA_SCH_008278,2021/2022,1506,983,928,0.652880134,0.944562259,Nigeria
NGA_SCH_006376_ADM_2016,NGA_SCH_006376,2016/2017,1300,984,736,0.757034822,0.74837791,Nigeria
NGA_SCH_004644_ADM_2017,NGA_SCH_004644,2017/2018,352,159,139,0.454412343,0.877081283,Nigeria
NGA_SCH_011014_ADM_2024,NGA_SCH_011014,2024/2025,584,520,,0.890858687,0.807591226,Nigeria
NGA_SCH_008653_ADM_2020,NGA_SCH_008653,2020/2021,437,210,147,0.480957125,0.702112537,Nigeria
NGA_SCH_011527_ADM_2021,NGA_SCH_011527,2021/2022,1323,770,695,0.582309808,0.903013242,Nigeria
NGA_SCH_000064_ADM_2022,NGA_SCH_000064,2022/2023,151,66,56,0.440257758,0.850862148,Nigeria
NGA_SCH_009933_ADM_2020,NGA_SCH_009933,2020/2021,1707,1310,1171,0.767778156,0.893951751,Nigeria
NGA_SCH_007242_ADM_2018,NGA_SCH_007242,2018/2019,51,32,27,0.641584222,0.85078354,Nigeria
NGA_SCH_003769_ADM_2017,NGA_SCH_003769,2017/2018,909,762,587,0.838556261,0.77068352,Nigeria
NGA_SCH_009652_ADM_2021,NGA_SCH_009652,2021/2022,1512,1125,814,0.744275949,0.723823315,Nigeria
NGA_SCH_004243_ADM_2023,NGA_SCH_004243,2023/2024,1670,1263,971,0.756478491,0.769336018,Nigeria
NGA_SCH_009213_ADM_2017,NGA_SCH_009213,2017/2018,797,559,526,0.702355504,0.941502922,Nigeria
NGA_SCH_007042_ADM_2024,NGA_SCH_007042,2024/2025,1206,957,892,0.79397038,0.932873317,Nigeria
NGA_SCH_005382_ADM_2018,NGA_SCH_005382,2018/2019,1581,1362,1045,0.861911397,0.767868705,Nigeria
NGA_SCH_003292_ADM_2023,NGA_SCH_003292,2023/2024,172,136,112,0.794786969,0.824703716,Nigeria
NGA_SCH_009916_ADM_2023,NGA_SCH_009916,2023/2024,53,33,30,0.627179722,0.93928707,Nigeria
NGA_SCH_000065_ADM_2018,NGA_SCH_000065,2018/2019,503,454,410,0.902830084,0.903441572,Nigeria
NGA_SCH_003614_ADM_2020,NGA_SCH_003614,2020/2021,1105,867,,0.784824669,0.768874204,Nigeria
NGA_SCH_007545_ADM_2019,NGA_SCH_007545,2019/2020,1965,906,758,0.461399523,0.837452228,Nigeria
NGA_SCH_001691_ADM_2018,NGA_SCH_001691,2018/2019,326,292,238,0.89783613,0.818480194,
NGA_SCH_002093_ADM_2019,NGA_SCH_002093,2019/2020,559,294,230,0.527191271,0.78358786,Nigeria
NGA_SCH_003932_ADM_2023,NGA_SCH_003932,2023/2024,1023,421,296,0.411591387,0.704380245,Nigeria
NGA_SCH_005853_ADM_2017,NGA_SCH_005853,2017/2018,1467,1313,1000,0.895152945,0.761901861,Nigeria
NGA_SCH_007817_ADM_2017,NGA_SCH_007817,2017/2018,1120,805,719,0.719455182,0.894083154,Nigeria
NGA_SCH_011647_ADM_2021,NGA_SCH_011647,2021/2022,969,613,474,0.633348295,0.774568307,Nigeria
NGA_SCH_004030_ADM_2019,NGA_SCH_004030,2019/2020,316,248,219,0.787404962,0.88651602,Nigeria
NGA_SCH_003987_ADM_2020,NGA_SCH_003987,2020/2021,1357,1244,892,0.916766813,0.717395684,Nigeria
NGA_SCH_007460_ADM_2024,NGA_SCH_007460,2024/2025,1569,1424,1294,0.908108399,0.908784845,Nigeria
NGA_SCH_000496_ADM_2024,NGA_SCH_000496,2024/2025,666,274,233,0.412265938,0.852376281,Nigeria
NGA_SCH_008108_ADM_2017,NGA_SCH_008108,2017/2018,1479,851,604,0.575482724,0.71089202,Nigeria
NGA_SCH_010146_ADM_2018,NGA_SCH_010146,2018/2019,364,290,210,0.79938766,0.724725669,Nigeria
NGA_SCH_011694_ADM_2019,NGA_SCH_011694,2019/2020,1298,875,693,0.67476698,0.792361826,Nigeria
NGA_SCH_006324_ADM_2022,NGA_SCH_006324,2022/2023,1878,1194,1104,0.63619069,0.925184076,Nigeria
NGA_SCH_010226_ADM_2021,NGA_SCH_010226,2021/2022,1866,1185,938,0.635183809,0.792051377,Nigeria
NGA_SCH_007636_ADM_2024,NGA_SCH_007636,2024/2025,1170,938,824,0.801955516,0.879387849,Nigeria
NGA_SCH_003586_ADM_2019,NGA_SCH_003586,2019/2020,1537,1414,1033,0.920525027,0.730670113,Nigeria
NGA_SCH_005762_ADM_2016,NGA_SCH_005762,2016/2017,442,374,311,0.847867472,0.832984821,Nigeria
NGA_SCH_006709_ADM_2022,NGA_SCH_006709,2022/2023,1466,866,812,0.590836023,0.937717032,Nigeria
NGA_SCH_001824_ADM_2023,NGA_SCH_001824,2023/2024,742,328,299,0.442680169,0.912382182,Nigeria
NGA_SCH_002330_ADM_2018,NGA_SCH_002330,2018/2019,78,31,28,0.40495605,0.907361669,Nigeria
NGA_SCH_010800_ADM_2019,NGA_SCH_010800,2019/2020,1381,756,555,0.547919058,0.73511766,Nigeria
NGA_SCH_010806_ADM_2018,NGA_SCH_010806,2018/2019,289,154,139,0.533492021,0.905902581,Nigeria
NGA_SCH_009555_ADM_2024,NGA_SCH_009555,2024/2025,1748,809,,0.463016847,0.894553561,
NGA_SCH_006487_ADM_2020,NGA_SCH_006487,2020/2021,1207,573,407,0.474875062,0.710325794,Nigeria
NGA_SCH_003489_ADM_2024,NGA_SCH_003489,2024/2025,1470,1386,1243,0.94314552,0.897496728,Nigeria
NGA_SCH_008358_ADM_2022,NGA_SCH_008358,2022/2023,855,722,543,0.844762641,0.75241978,Nigeria
NGA_SCH_006149_ADM_2021,NGA_SCH_006149,2021/2022,1236,559,445,0.452528755,0.797548729,Nigeria
NGA_SCH_010376_ADM_2022,NGA_SCH_010376,2022/2023,871,573,406,0.658040828,0.71002275,Nigeria
NGA_SCH_009672_ADM_2016,NGA_SCH_009672,2016/2017,764,316,272,0.413738587,0.86108503,Nigeria
NGA_SCH_007668_ADM_2023,NGA_SCH_007668,2023/2024,1495,712,616,0.476723179,0.865984847,Nigeria
NGA_SCH_006994_ADM_2018,NGA_SCH_006994,2018/2019,1789,1581,1314,0.883738198,0.831141005,Nigeria
NGA_SCH_005263_ADM_2018,NGA_SCH_005263,2018/2019,1246,810,747,0.650138629,0.922288426,Nigeria
NGA_SCH_004623_ADM_2024,NGA_SCH_004623,2024/2025,1611,1162,914,0.721524382,0.786594515,Nigeria
NGA_SCH_001620_ADM_2022,NGA_SCH_001620,2022/2023,206,111,81,0.541713527,0.737566035,Nigeria
NGA_SCH_011024_ADM_2018,NGA_SCH_011024,2018/2019,653,564,,0.864612752,0.845920215,Nigeria
NGA_SCH_010558_ADM_2015,NGA_SCH_010558,2015/2016,1777,1120,861,0.630610112,0.768785295,Nigeria
NGA_SCH_009530_ADM_2020,NGA_SCH_009530,2020/2021,,1270,1002,0.761901653,0.789050987,Nigeria
NGA_SCH_011261_ADM_2017,NGA_SCH_011261,2017/2018,1622,1227,904,0.756537158,0.737184478,Nigeria
NGA_SCH_010503_ADM_2022,NGA_SCH_010503,2022/2023,1114,766,543,0.687966711,0.709342399,Nigeria
NGA_SCH_006475_ADM_2017,NGA_SCH_006475,2017/2018,161,126,94,0.78654792,0.746092655,Nigeria
NGA_SCH_008647_ADM_2024,NGA_SCH_008647,2024/2025,920,516,460,0.56091468,0.89170882,Nigeria
NGA_SCH_007780_ADM_2023,NGA_SCH_007780,2023/2024,1254,1187,834,0.947331693,0.702857415,Nigeria
NGA_SCH_007693_ADM_2016,NGA_SCH_007693,2016/2017,,1236,1058,0.899798603,0.856288168,Nigeria
NGA_SCH_003284_ADM_2019,NGA_SCH_003284,2019/2020,825,669,506,0.811117217,0.757598897,Nigeria
NGA_SCH_004908_ADM_2017,NGA_SCH_004908,2017/2018,429,328,231,0.764572037,0.704377254,Nigeria
NGA_SCH_010163_ADM_2016,NGA_SCH_010163,2016/2017,678,272,209,0.402526722,0.76870227,Nigeria
NGA_SCH_009698_ADM_2015,NGA_SCH_009698,2015/2016,140,74,57,0.532128262,0.779300757,Nigeria
NGA_SCH_004516_ADM_2024,NGA_SCH_004516,2024/2025,1190,516,435,0.433930906,0.843647765,Nigeria
NGA_SCH_010770_ADM_2019,NGA_SCH_010770,2019/2020,,1038,805,0.590804429,0.775761895,Nigeria
NGA_SCH_007360_ADM_2024,NGA_SCH_007360,2024/2025,1075,950,791,0.88398328,0.833289901,Nigeria
NGA_SCH_009902_ADM_2022,NGA_SCH_009902,2022/2023,1528,1169,905,0.765703073,0.774208146,Nigeria
NGA_SCH_004667_ADM_2023,NGA_SCH_004667,2023/2024,590,277,209,0.470373441,0.755154511,Nigeria
NGA_SCH_009215_ADM_2018,NGA_SCH_009215,2018/2019,1382,1096,901,0.793073675,0.822221077,Nigeria
NGA_SCH_003694_ADM_2015,NGA_SCH_003694,2015/2016,61,29,23,0.49174845,0.820535454,Nigeria
NGA_SCH_001741_ADM_2019,NGA_SCH_001741,2019/2020,913,,529,0.669153129,0.868335792,Nigeria
NGA_SCH_004600_ADM_2023,NGA_SCH_004600,2023/2024,1804,1621,1416,0.898588207,0.873991045,Nigeria
NGA_SCH_005694_ADM_2020,NGA_SCH_005694,2020/2021,1561,1058,818,0.678013104,0.773896136,Nigeria
NGA_SCH_009818_ADM_2024,NGA_SCH_009818,2024/2025,280,253,182,0.905411204,0.723318445,
NGA_SCH_004853_ADM_2024,NGA_SCH_004853,2024/2025,839,363,262,0.43282532,0.722720457,Nigeria
NGA_SCH_004635_ADM_2022,NGA_SCH_004635,2022/2023,1850,1316,1132,0.711774196,0.860554616,Nigeria
NGA_SCH_010321_ADM_2018,NGA_SCH_010321,2018/2019,1055,475,423,0.450576332,0.892089502,Nigeria
NGA_SCH_003076_ADM_2022,NGA_SCH_003076,2022/2023,440,181,149,0.412579877,0.826100467,Nigeria
NGA_SCH_007910_ADM_2020,NGA_SCH_007910,2020/2021,1432,952,838,0.665379451,0.881059589,Nigeria
NGA_SCH_011529_ADM_2017,NGA_SCH_011529,2017/2018,1337,934,678,0.699312639,0.726491644,Nigeria
NGA_SCH_011237_ADM_2024,NGA_SCH_011237,2024/2025,129,57,42,0.441866748,0.749192016,Nigeria
NGA_SCH_000582_ADM_2023,NGA_SCH_000582,2023/2024,314,290,263,0.924464723,0.909906124,Nigeria
NGA_SCH_000607_ADM_2016,NGA_SCH_000607,2016/2017,875,695,592,0.795091578,0.853066307,Nigeria
NGA_SCH_001838_ADM_2024,NGA_SCH_001838,2024/2025,1071,779,713,0.727449958,0.916151253,Nigeria
NGA_SCH_005333_ADM_2022,NGA_SCH_005333,2022/2023,665,295,212,0.444363173,0.720122446,Nigeria
NGA_SCH_001500_ADM_2024,NGA_SCH_001500,2024/2025,1817,1490,1075,0.820502355,0.721945065,Nigeria
NGA_SCH_004012_ADM_2024,NGA_SCH_004012,2024/2025,626,285,216,0.456210492,0.759253907,Nigeria
NGA_SCH_010971_ADM_2019,NGA_SCH_010971,2019/2020,1686,1479,1128,0.877574511,0.762901064,Nigeria
NGA_SCH_000618_ADM_2021,NGA_SCH_000618,2021/2022,1119,691,591,0.617605752,0.856139659,Nigeria
NGA_SCH_006205_ADM_2022,NGA_SCH_006205,2022/2023,1204,688,588,0.572107081,0.855798074,Nigeria
NGA_SCH_007370_ADM_2019,NGA_SCH_007370,2019/2020,1498,1193,1064,0.796515407,0.891892435,Nigeria
NGA_SCH_000934_ADM_2018,NGA_SCH_000934,2018/2019,91,55,45,0.609422165,0.828855612,Nigeria
NGA_SCH_009740_ADM_2019,NGA_SCH_009740,2019/2020,198,105,93,0.532973437,0.894784163,Nigeria
NGA_SCH_010616_ADM_2019,NGA_SCH_010616,2019/2020,350,195,183,0.557742133,0.942072682,Nigeria
NGA_SCH_004882_ADM_2019,NGA_SCH_004882,2019/2020,975,709,,0.72742003,0.941248714,Nigeria
NGA_SCH_000098_ADM_2020,NGA_SCH_000098,2020/2021,1397,1226,878,0.877703328,0.716171723,Nigeria
NGA_SCH_011570_ADM_2021,NGA_SCH_011570,2021/2022,534,433,320,0.81214207,0.740063423,Nigeria
NGA_SCH_009751_ADM_2018,NGA_SCH_009751,2018/2019,901,505,470,0.56054099,0.931632793,Nigeria
NGA_SCH_001619_ADM_2021,NGA_SCH_001619,2021/2022,481,351,317,0.730992276,0.904740126,Nigeria
NGA_SCH_009384_ADM_2019,NGA_SCH_009384,2019/2020,1238,914,694,0.738914216,0.760225976,Nigeria
NGA_SCH_003639_ADM_2024,NGA_SCH_003639,2024/2025,1414,1218,1060,0.862072039,0.870655922,Nigeria
NGA_SCH_001605_ADM_2018,NGA_SCH_001605,2018/2019,260,166,133,0.640432513,0.803047215,Nigeria
NGA_SCH_004797_ADM_2017,NGA_SCH_004797,2017/2018,810,521,488,0.643799159,0.938559401,Nigeria
NGA_SCH_007832_ADM_2018,NGA_SCH_007832,2018/2019,771,692,524,0.897938631,0.757996417,Nigeria
NGA_SCH_009199_ADM_2017,NGA_SCH_009199,2017/2018,163,137,,0.846244669,0.849718093,Nigeria
NGA_SCH_002847_ADM_2019,NGA_SCH_002847,2019/2020,512,481,386,0.939845508,0.803057399,Nigeria
NGA_SCH_002735_ADM_2021,NGA_SCH_002735,2021/2022,320,197,155,0.615789473,0.788592556,Nigeria
NGA_SCH_011466_ADM_2019,NGA_SCH_011466,2019/2020,319,283,268,0.888708519,0.948677725,Nigeria
NGA_SCH_002688_ADM_2022,NGA_SCH_002688,2022/2023,1465,638,571,0.435543763,0.895153074,Nigeria
NGA_SCH_000376_ADM_2019,NGA_SCH_000376,2019/2020,1850,805,679,0.435494736,0.844415359,Nigeria
NGA_SCH_004916_ADM_2019,NGA_SCH_004916,2019/2020,1907,1798,1681,0.943263804,0.935123019,Nigeria
NGA_SCH_005762_ADM_2021,NGA_SCH_005762,2021/2022,607,522,493,0.861109688,0.944448571,Nigeria
NGA_SCH_002631_ADM_2020,NGA_SCH_002631,2020/2021,329,296,250,0.901978374,0.847705445,Nigeria
NGA_SCH_002492_ADM_2022,NGA_SCH_002492,2022/2023,51,40,34,0.79164105,0.851382713,Nigeria
NGA_SCH_010124_ADM_2024,NGA_SCH_010124,2024/2025,524,235,209,0.449062978,0.889823499,Nigeria
NGA_SCH_010349_ADM_2023,NGA_SCH_010349,2023/2024,923,834,706,0.903955785,0.847106794,Nigeria
NGA_SCH_003485_ADM_2023,NGA_SCH_003485,2023/2024,838,663,512,0.791226488,0.772746635,Nigeria
NGA_SCH_010869_ADM_2021,NGA_SCH_010869,2021/2022,939,437,376,0.465963506,0.861022006,Nigeria
NGA_SCH_008028_ADM_2020,NGA_SCH_008028,2020/2021,1325,948,808,0.716075245,0.852666991,Nigeria
NGA_SCH_007567_ADM_2015,NGA_SCH_007567,2015/2016,1367,1215,951,0.888920485,0.783181526,Nigeria
NGA_SCH_005977_ADM_2021,NGA_SCH_005977,2021/2022,1991,1232,1037,0.619190575,0.841965066,Nigeria
NGA_SCH_003125_ADM_2023,NGA_SCH_003125,2023/2024,1972,1672,1280,0.848109683,0.76604213,Nigeria
NGA_SCH_005853_ADM_2021,NGA_SCH_005853,2021/2022,391,340,250,0.871660947,0.736171075,Nigeria
NGA_SCH_005004_ADM_2021,NGA_SCH_005004,2021/2022,1314,1147,911,0.873351306,0.794283837,Nigeria
NGA_SCH_003396_ADM_2021,NGA_SCH_003396,2021/2022,878,390,299,0.44465803,0.76706058,Nigeria
NGA_SCH_006486_ADM_2018,NGA_SCH_006486,2018/2019,642,533,471,0.831513013,0.885045155,Nigeria
NGA_SCH_004151_ADM_2021,NGA_SCH_004151,2021/2022,1270,961,794,0.757464895,0.82626644,Nigeria
NGA_SCH_006605_ADM_2017,NGA_SCH_006605,2017/2018,174,72,61,0.415063031,0.859941465,Nigeria
NGA_SCH_009311_ADM_2022,NGA_SCH_009311,2022/2023,1473,1323,1069,0.898829621,0.808070733,Nigeria
NGA_SCH_000635_ADM_2019,NGA_SCH_000635,2019/2020,1936,1720,1533,0.888579198,0.891674456,Nigeria
NGA_SCH_008233_ADM_2016,NGA_SCH_008233,2016/2017,976,393,330,0.403226445,0.842088969,Nigeria
NGA_SCH_008293_ADM_2018,NGA_SCH_008293,2018/2019,540,308,221,0.571243363,0.719018117,Nigeria
NGA_SCH_006566_ADM_2022,NGA_SCH_006566,2022/2023,669,287,222,0.429250142,0.774091079,Nigeria
NGA_SCH_001406_ADM_2022,NGA_SCH_001406,2022/2023,1402,726,509,0.518308784,0.70233816,Nigeria
NGA_SCH_006661_ADM_2023,NGA_SCH_006661,2023/2024,1175,893,810,0.760495894,0.907228716,Nigeria
NGA_SCH_002334_ADM_2021,NGA_SCH_002334,2021/2022,1384,1080,1007,0.780474941,0.933221848,Nigeria
NGA_SCH_008104_ADM_2017,NGA_SCH_008104,2017/2018,1311,815,,0.622365191,0.816636887,Nigeria
NGA_SCH_005910_ADM_2023,NGA_SCH_005910,2023/2024,823,745,653,0.905478667,0.877345446,Nigeria
NGA_SCH_010656_ADM_2023,NGA_SCH_010656,2023/2024,1975,1293,950,0.654707915,0.734813402,Nigeria
NGA_SCH_006200_ADM_2024,NGA_SCH_006200,2024/2025,809,757,543,0.935883489,0.717731412,Nigeria
NGA_SCH_003614_ADM_2024,NGA_SCH_003614,2024/2025,950,846,644,0.89144453,0.761299855,Nigeria
NGA_SCH_004044_ADM_2017,NGA_SCH_004044,2017/2018,1097,886,810,0.80827757,0.91425534,Nigeria
NGA_SCH_001781_ADM_2023,NGA_SCH_001781,2023/2024,1232,1075,757,0.873342753,0.704245256,Nigeria
NGA_SCH_003262_ADM_2019,NGA_SCH_003262,2019/2020,342,138,103,0.406215195,0.749229973,Nigeria
NGA_SCH_005403_ADM_2019,NGA_SCH_005403,2019/2020,186,111,88,0.601627537,0.793336868,Nigeria
NGA_SCH_004100_ADM_2024,NGA_SCH_004100,2024/2025,1024,869,701,0.84913479,0.807187955,Nigeria
NGA_SCH_001229_ADM_2019,NGA_SCH_001229,2019/2020,1557,1067,1008,0.685656308,0.944929375,Nigeria
NGA_SCH_010708_ADM_2017,NGA_SCH_010708,2017/2018,867,386,286,0.445457362,0.742083277,Nigeria
NGA_SCH_000078_ADM_2024,NGA_SCH_000078,2024/2025,989,674,586,0.681722056,0.870056945,Nigeria
NGA_SCH_009123_ADM_2024,NGA_SCH_009123,2024/2025,219,161,120,0.737258544,0.746788442,Nigeria
NGA_SCH_004221_ADM_2024,NGA_SCH_004221,2024/2025,1344,892,807,0.663918112,0.905052794,Nigeria
NGA_SCH_007669_ADM_2019,NGA_SCH_007669,2019/2020,160,123,97,0.773697255,0.789332962,Nigeria
NGA_SCH_001285_ADM_2022,NGA_SCH_001285,2022/2023,716,317,266,0.443061027,0.839494213,Nigeria
NGA_SCH_000489_ADM_2019,NGA_SCH_000489,2019/2020,688,625,496,0.909387082,0.794712403,Nigeria
NGA_SCH_000093_ADM_2020,NGA_SCH_000093,2020/2021,245,194,178,0.795644492,0.922564513,Nigeria
NGA_SCH_004460_ADM_2016,NGA_SCH_004460,2016/2017,1197,854,731,0.713499491,0.856709716,Nigeria
NGA_SCH_010474_ADM_2021,NGA_SCH_010474,2021/2022,1228,923,710,0.751965386,0.769358395,Nigeria
NGA_SCH_003416_ADM_2021,NGA_SCH_003416,2021/2022,1238,755,535,0.610520874,0.709920134,Nigeria
NGA_SCH_005923_ADM_2020,NGA_SCH_005923,2020/2021,1123,1053,970,0.938123198,0.921607275,Nigeria
NGA_SCH_003940_ADM_2022,NGA_SCH_003940,2022/2023,1142,966,740,0.846289678,0.766452208,Nigeria
NGA_SCH_006890_ADM_2016,NGA_SCH_006890,2016/2017,206,171,128,0.833969216,,Nigeria
NGA_SCH_003159_ADM_2020,NGA_SCH_003159,2020/2021,777,553,501,0.712078967,0.906217321,Nigeria
NGA_SCH_004317_ADM_2016,NGA_SCH_004317,2016/2017,325,163,,0.503779157,0.936167629,Nigeria
NGA_SCH_000031_ADM_2022,NGA_SCH_000031,2022/2023,308,131,102,0.428502945,0.78415107,Nigeria
NGA_SCH_001034_ADM_2024,NGA_SCH_001034,2024/2025,492,305,279,0.62165495,0.917795649,Nigeria
NGA_SCH_001747_ADM_2021,NGA_SCH_001747,2021/2022,70,59,42,0.853452118,0.715131676,Nigeria
NGA_SCH_000543_ADM_2021,NGA_SCH_000543,2021/2022,616,410,297,0.666627933,0.726444727,Nigeria
NGA_SCH_009628_ADM_2020,NGA_SCH_009628,2020/2021,571,409,345,0.716891166,0.84405678,Nigeria
NGA_SCH_009906_ADM_2022,NGA_SCH_009906,2022/2023,1797,785,621,0.437233147,0.791920256,Nigeria
NGA_SCH_000292_ADM_2023,NGA_SCH_000292,2023/2024,375,253,180,0.674825777,0.715335969,Nigeria
NGA_SCH_004256_ADM_2020,NGA_SCH_004256,2020/2021,1317,1205,971,0.915455966,0.806507302,Nigeria
NGA_SCH_004547_ADM_2017,NGA_SCH_004547,2017/2018,890,370,284,0.416683131,0.770267266,Nigeria
NGA_SCH_006829_ADM_2023,NGA_SCH_006829,2023/2024,331,299,243,0.903517155,0.815404347,Nigeria
NGA_SCH_003552_ADM_2016,NGA_SCH_003552,2016/2017,471,367,262,0.780898467,0.714022924,Nigeria
NGA_SCH_006426_ADM_2015,NGA_SCH_006426,2015/2016,,466,398,0.681064232,0.854666134,Nigeria
