school_id,num_applications,num_accepted,num_enrolled,acceptance_rate,enrollment_rate,cal_year
NGA_SCH_000492,1415.0,1056.0,879.0,74.6,83.2,2014
NGA_SCH_009625,71.0,55.0,40.0,77.5,72.7,2014
NGA_SCH_004176,1712.0,1446.0,1325.0,84.5,91.6,2014
NGA_SCH_005838,487.0,370.0,344.0,76.0,93.0,2014
NGA_SCH_009558,1976.0,1047.0,946.0,53.0,90.4,2014
NGA_SCH_006980,1115.0,914.0,688.0,82.0,75.3,2014
NGA_SCH_007595,1087.0,846.0,571.2093307527758,77.8,67.5,2014
NGA_SCH_002269,649.0,524.0,413.0,80.7,78.8,2014
NGA_SCH_005275,497.0,301.0,229.0,60.6,76.1,2014
NGA_SCH_007707,255.0,167.0,153.0,65.5,91.6,2014
NGA_SCH_002707,1601.0,922.0,825.0,57.6,89.5,2014
NGA_SCH_005249,898.0,371.0,273.0,41.3,73.6,2014
NGA_SCH_008205,1163.0,941.0,756.0,80.9,80.3,2014
NGA_SCH_001518,323.0,691.9029827954799,217.0,214.2,31.4,2014
NGA_SCH_009636,786.0,575.0,477.0,73.2,83.0,2014
NGA_SCH_007620,1219.0,1066.0,940.0,87.4,88.2,2014
NGA_SCH_006916,1203.0,742.0,610.0,61.7,82.2,2014
NGA_SCH_007211,1036.0,449.0,348.0,43.3,77.5,2014
NGA_SCH_003810,1217.0,691.9029827954799,542.0,56.9,78.3,2014
NGA_SCH_011401,417.0,197.0,186.0,47.2,94.4,2014
NGA_SCH_008639,621.0,324.0,240.0,52.2,74.1,2014
NGA_SCH_009783,897.0,839.0,742.0,93.5,88.4,2014
NGA_SCH_001159,1162.0,1102.0,922.0,94.8,83.7,2014
NGA_SCH_010495,1617.0,733.0,549.0,45.3,74.9,2014
NGA_SCH_003619,1415.0,578.0,522.0,40.8,90.3,2014
NGA_SCH_006601,1853.0,1756.0,1259.0,94.8,71.7,2014
NGA_SCH_002553,1274.0,770.0,560.0,60.4,72.7,2014
NGA_SCH_011311,703.0,317.0,294.0,45.1,92.7,2014
NGA_SCH_008235,1267.0,609.0,535.0,48.1,87.8,2014
NGA_SCH_003769,1430.0,1288.0,1009.0,90.1,78.3,2014
NGA_SCH_005991,1073.0,904.0,745.0,84.2,82.4,2014
NGA_SCH_003547,648.0,497.0,460.0,76.7,92.6,2014
NGA_SCH_004190,1264.0,598.0,498.0,47.3,83.3,2014
NGA_SCH_010596,1596.0,1511.0,1393.0,94.7,92.2,2014
NGA_SCH_004974,903.0,707.0,646.0,78.3,91.4,2014
NGA_SCH_003001,1476.0,663.0,524.0,44.9,79.0,2014
NGA_SCH_005305,647.0,272.0,196.0,42.0,72.1,2014
NGA_SCH_011549,745.0,561.0,571.2093307527758,75.3,101.8,2014
NGA_SCH_006549,427.0,303.0,226.0,71.0,74.6,2014
NGA_SCH_001904,735.0,608.0,571.0,82.7,93.9,2014
NGA_SCH_006793,1233.0,632.0,472.0,51.3,74.7,2014
NGA_SCH_007716,354.0,176.0,128.0,49.7,72.7,2014
NGA_SCH_000270,1281.0,1015.0,932.0,79.2,91.8,2014
NGA_SCH_005478,1950.0,1265.0,935.0,64.9,73.9,2014
NGA_SCH_006814,1705.0,1143.0,1019.0,67.0,89.2,2014
NGA_SCH_002815,583.0,272.0,205.0,46.7,75.4,2014
NGA_SCH_007063,1708.0,731.0,576.0,42.8,78.8,2014
NGA_SCH_011465,259.0,245.0,207.0,94.6,84.5,2014
NGA_SCH_010068,431.0,330.0,291.0,76.6,88.2,2014
NGA_SCH_003728,1834.0,1141.0,983.0,62.2,86.2,2014
NGA_SCH_002711,1591.0,895.0,791.0,56.3,88.4,2014
NGA_SCH_009220,1784.0,795.0,753.0,44.6,94.7,2014
NGA_SCH_000287,1623.0,1106.0,1034.0,68.1,93.5,2014
NGA_SCH_001278,1294.0,866.0,685.0,66.9,79.1,2014
NGA_SCH_007021,634.0,284.0,241.0,44.8,84.9,2014
NGA_SCH_005276,996.0,820.0,713.0,82.3,87.0,2014
NGA_SCH_011525,1029.4926440539436,1171.0,1047.0,113.7,89.4,2014
NGA_SCH_002425,1550.0,1097.0,953.0,70.8,86.9,2014
NGA_SCH_000309,1623.0,744.0,677.0,45.8,91.0,2014
NGA_SCH_004239,915.0,549.0,483.0,60.0,88.0,2014
NGA_SCH_008806,1407.0,935.0,710.0,66.5,75.9,2014
NGA_SCH_007036,1757.0,869.0,719.0,49.5,82.7,2014
NGA_SCH_003475,1465.0,863.0,747.0,58.9,86.6,2014
NGA_SCH_005333,778.0,680.0,639.0,87.4,94.0,2014
NGA_SCH_008200,1385.0,1260.0,907.0,91.0,72.0,2014
NGA_SCH_005794,1846.0,1358.0,1129.0,73.6,83.1,2014
NGA_SCH_000589,1658.0,764.0,570.0,46.1,74.6,2014
NGA_SCH_003294,1287.0,976.0,875.0,75.8,89.7,2014
NGA_SCH_001404,234.0,159.0,145.0,67.9,91.2,2014
NGA_SCH_000074,430.0,247.0,231.0,57.4,93.5,2014
NGA_SCH_005368,556.0,512.0,414.0,92.1,80.9,2014
NGA_SCH_010754,255.0,231.0,180.0,90.6,77.9,2014
NGA_SCH_006385,1538.0,1373.0,1041.0,89.3,75.8,2014
NGA_SCH_006776,1565.0,1149.0,939.0,73.4,81.7,2014
NGA_SCH_011745,1375.0,1250.0,998.0,90.9,79.8,2014
NGA_SCH_002820,1845.0,1090.0,1033.0,59.1,94.8,2014
NGA_SCH_001370,386.0,292.0,229.0,75.6,78.4,2014
NGA_SCH_007053,303.0,281.0,216.0,92.7,76.9,2014
NGA_SCH_004430,112.0,92.0,74.0,82.1,80.4,2014
NGA_SCH_001144,1837.0,1183.0,936.0,64.4,79.1,2014
NGA_SCH_010526,1390.0,578.0,432.0,41.6,74.7,2014
NGA_SCH_010175,655.0,453.0,363.0,69.2,80.1,2014
NGA_SCH_007264,1474.0,1143.0,926.0,77.5,81.0,2014
NGA_SCH_005627,286.0,236.0,204.0,82.5,86.4,2014
NGA_SCH_011638,1234.0,814.0,616.0,66.0,75.7,2014
NGA_SCH_011383,51.0,38.0,31.0,74.5,81.6,2014
NGA_SCH_010548,1891.0,1458.0,1272.0,77.1,87.2,2014
NGA_SCH_003599,764.0,442.0,330.0,57.9,74.7,2014
NGA_SCH_006630,316.0,224.0,207.0,70.9,92.4,2014
NGA_SCH_000351,1470.0,607.0,513.0,41.3,84.5,2014
NGA_SCH_006655,107.0,66.0,48.0,61.7,72.7,2014
NGA_SCH_011599,1099.0,887.0,656.0,80.7,74.0,2014
NGA_SCH_001715,54.0,30.0,28.0,55.6,93.3,2014
NGA_SCH_009849,1709.0,1259.0,1164.0,73.7,92.5,2014
NGA_SCH_008309,1559.0,845.0,600.0,54.2,71.0,2014
NGA_SCH_002309,950.0,687.0,632.0,72.3,92.0,2014
NGA_SCH_004929,130.0,112.0,99.0,86.2,88.4,2014
NGA_SCH_004440,646.0,394.0,291.0,61.0,73.9,2014
NGA_SCH_006870,746.0,681.0,512.0,91.3,75.2,2014
NGA_SCH_010635,219.0,123.0,95.0,56.2,77.2,2014
NGA_SCH_000791,1886.0,1129.0,830.0,59.9,73.5,2014
NGA_SCH_003682,340.0,236.0,217.0,69.4,91.9,2014
NGA_SCH_009280,103.0,68.0,49.0,66.0,72.1,2014
NGA_SCH_001821,1029.4926440539436,908.0,754.0,88.2,83.0,2014
NGA_SCH_006282,1876.0,1485.0,1220.0,79.2,82.2,2014
NGA_SCH_002696,195.0,96.0,70.0,49.2,72.9,2014
NGA_SCH_008071,149.0,102.0,87.0,68.5,85.3,2014
NGA_SCH_006893,1903.0,919.0,671.0,48.3,73.0,2014
NGA_SCH_000272,573.0,323.0,280.0,56.4,86.7,2014
NGA_SCH_008939,829.0,706.0,527.0,85.2,74.6,2014
NGA_SCH_005620,171.0,79.0,62.0,46.2,78.5,2014
NGA_SCH_008534,96.0,47.0,34.0,49.0,72.3,2014
NGA_SCH_001967,1803.0,691.9029827954799,776.0,38.4,112.2,2014
NGA_SCH_008753,1464.0,702.0,559.0,48.0,79.6,2014
NGA_SCH_007139,1521.0,1106.0,977.0,72.7,88.3,2014
NGA_SCH_004379,1501.0,681.0,531.0,45.4,78.0,2014
NGA_SCH_007141,1121.0,962.0,730.0,85.8,75.9,2014
NGA_SCH_003200,1306.0,1029.0,848.0,78.8,82.4,2014
NGA_SCH_003166,1327.0,1178.0,1114.0,88.8,94.6,2014
NGA_SCH_006328,1795.0,813.0,605.0,45.3,74.4,2014
NGA_SCH_007748,1491.0,762.0,681.0,51.1,89.4,2014
NGA_SCH_001324,950.0,691.9029827954799,443.0,72.8,64.0,2014
NGA_SCH_009388,657.0,265.0,234.0,40.3,88.3,2014
NGA_SCH_006376,1030.0,748.0,616.0,72.6,82.4,2014
NGA_SCH_001992,741.0,468.0,346.0,63.2,73.9,2014
NGA_SCH_009114,1597.0,684.0,504.0,42.8,73.7,2014
NGA_SCH_008010,898.0,555.0,438.0,61.8,78.9,2014
NGA_SCH_006162,1177.0,715.0,633.0,60.7,88.5,2014
NGA_SCH_002092,74.0,49.0,44.0,66.2,89.8,2014
NGA_SCH_000319,1307.0,1182.0,885.0,90.4,74.9,2014
NGA_SCH_003308,1156.0,1066.0,953.0,92.2,89.4,2014
NGA_SCH_003649,1669.0,814.0,753.0,48.8,92.5,2014
NGA_SCH_009923,1192.0,960.0,710.0,80.5,74.0,2014
NGA_SCH_004044,1946.0,1285.0,1164.0,66.0,90.6,2014
NGA_SCH_002693,1316.0,777.0,680.0,59.0,87.5,2014
NGA_SCH_000112,1457.0,1133.0,800.0,77.8,70.6,2014
NGA_SCH_008165,1927.0,1811.0,1412.0,94.0,78.0,2014
NGA_SCH_003526,1019.0,458.0,351.0,44.9,76.6,2014
NGA_SCH_011630,1989.0,1872.0,1592.0,94.1,85.0,2014
NGA_SCH_006058,821.0,355.0,297.0,43.2,83.7,2014
NGA_SCH_008462,111.0,72.0,52.0,64.9,72.2,2014
NGA_SCH_006885,1485.0,1133.0,937.0,76.3,82.7,2014
NGA_SCH_004959,1742.0,1488.0,1362.0,85.4,91.5,2014
NGA_SCH_008395,1431.0,1333.0,971.0,93.2,72.8,2014
NGA_SCH_005550,1744.0,833.0,632.0,47.8,75.9,2014
NGA_SCH_004624,995.0,587.0,511.0,59.0,87.1,2014
NGA_SCH_000440,1691.0,1336.0,973.0,79.0,72.8,2014
NGA_SCH_007552,1449.0,838.0,661.0,57.8,78.9,2014
NGA_SCH_011191,893.0,536.0,459.0,60.0,85.6,2014
NGA_SCH_009187,207.0,87.0,62.0,42.0,71.3,2014
NGA_SCH_008851,864.0,381.0,324.0,44.1,85.0,2014
NGA_SCH_000324,881.0,363.0,308.0,41.2,84.8,2014
NGA_SCH_010095,184.0,157.0,139.0,85.3,88.5,2014
NGA_SCH_009095,1399.0,774.0,718.0,55.3,92.8,2015
NGA_SCH_011451,1015.0,691.9029827954799,360.0,68.2,52.0,2015
NGA_SCH_003738,723.0,303.0,216.0,41.9,71.3,2015
NGA_SCH_001766,637.0,256.0,222.0,40.2,86.7,2015
NGA_SCH_002375,456.0,220.0,204.0,48.2,92.7,2015
NGA_SCH_009821,412.0,209.0,183.0,50.7,87.6,2015
NGA_SCH_007535,896.0,799.0,686.0,89.2,85.9,2015
NGA_SCH_006817,1659.0,1084.0,834.0,65.3,76.9,2015
NGA_SCH_003009,1225.0,864.0,762.0,70.5,88.2,2015
NGA_SCH_004925,1086.0,960.0,843.0,88.4,87.8,2015
NGA_SCH_000201,430.0,364.0,256.0,84.7,70.3,2015
NGA_SCH_001916,1998.0,1324.0,1032.0,66.3,77.9,2015
NGA_SCH_007038,1942.0,1277.0,976.0,65.8,76.4,2015
NGA_SCH_004076,1340.0,547.0,408.0,40.8,74.6,2015
NGA_SCH_002632,869.0,595.0,505.0,68.5,84.9,2015
NGA_SCH_011202,1995.0,1002.0,938.0,50.2,93.6,2015
NGA_SCH_007409,741.0,546.0,459.0,73.7,84.1,2015
NGA_SCH_004050,52.0,32.0,24.0,61.5,75.0,2015
NGA_SCH_010303,117.0,89.0,69.0,76.1,77.5,2015
NGA_SCH_000539,1029.4926440539436,234.0,174.0,22.7,74.4,2015
NGA_SCH_008790,1940.0,1701.0,571.2093307527758,87.7,33.6,2015
NGA_SCH_008868,1909.0,802.0,628.0,42.0,78.3,2015
NGA_SCH_003605,614.0,561.0,482.0,91.4,85.9,2015
NGA_SCH_010523,1346.0,1043.0,799.0,77.5,76.6,2015
NGA_SCH_005021,421.0,362.0,282.0,86.0,77.9,2015
NGA_SCH_004009,542.0,232.0,170.0,42.8,73.3,2015
NGA_SCH_006738,484.0,368.0,345.0,76.0,93.8,2015
NGA_SCH_008976,1033.0,611.0,530.0,59.1,86.7,2015
NGA_SCH_004950,507.0,306.0,221.0,60.4,72.2,2015
NGA_SCH_011572,1088.0,738.0,613.0,67.8,83.1,2015
NGA_SCH_010306,1609.0,1136.0,821.0,70.6,72.3,2015
NGA_SCH_008915,1760.0,1540.0,1364.0,87.5,88.6,2015
NGA_SCH_002098,379.0,274.0,203.0,72.3,74.1,2015
NGA_SCH_008225,1029.4926440539436,230.0,214.0,22.3,93.0,2015
NGA_SCH_007670,1709.0,1188.0,1099.0,69.5,92.5,2015
NGA_SCH_000144,224.0,182.0,136.0,81.2,74.7,2015
NGA_SCH_003445,829.0,636.0,549.0,76.7,86.3,2015
NGA_SCH_008179,137.0,92.0,80.0,67.2,87.0,2015
NGA_SCH_003845,1005.0,582.0,422.0,57.9,72.5,2015
NGA_SCH_011743,1419.0,610.0,543.0,43.0,89.0,2015
NGA_SCH_007987,195.0,148.0,129.0,75.9,87.2,2015
NGA_SCH_000351,1988.0,1083.0,1016.0,54.5,93.8,2015
NGA_SCH_003163,1486.0,1355.0,1235.0,91.2,91.1,2015
NGA_SCH_003573,673.0,621.0,588.0,92.3,94.7,2015
NGA_SCH_002355,1511.0,816.0,576.0,54.0,70.6,2015
NGA_SCH_005830,1094.0,528.0,451.0,48.3,85.4,2015
NGA_SCH_003218,347.0,271.0,203.0,78.1,74.9,2015
NGA_SCH_011163,1970.0,1805.0,1598.0,91.6,88.5,2015
NGA_SCH_002202,821.0,341.0,286.0,41.5,83.9,2015
NGA_SCH_007131,1556.0,1054.0,823.0,67.7,78.1,2015
NGA_SCH_008211,198.0,154.0,136.0,77.8,88.3,2015
NGA_SCH_004016,1720.0,1546.0,1345.0,89.9,87.0,2015
NGA_SCH_006693,1974.0,1590.0,1453.0,80.5,91.4,2015
NGA_SCH_008152,165.0,121.0,96.0,73.3,79.3,2015
NGA_SCH_010967,366.0,691.9029827954799,173.0,189.0,25.0,2015
NGA_SCH_002939,1918.0,1540.0,1150.0,80.3,74.7,2015
NGA_SCH_000724,544.0,349.0,270.0,64.2,77.4,2015
NGA_SCH_005658,1133.0,916.0,832.0,80.8,90.8,2015
NGA_SCH_001521,281.0,141.0,101.0,50.2,71.6,2015
NGA_SCH_004421,1700.0,1357.0,1189.0,79.8,87.6,2015
NGA_SCH_008702,1059.0,598.0,546.0,56.5,91.3,2015
NGA_SCH_009118,230.0,95.0,79.0,41.3,83.2,2015
NGA_SCH_003576,741.0,664.0,493.0,89.6,74.2,2015
NGA_SCH_004418,383.0,323.0,236.0,84.3,73.1,2015
NGA_SCH_008205,1354.0,953.0,834.0,70.4,87.5,2015
NGA_SCH_001895,1590.0,1367.0,1268.0,86.0,92.8,2015
NGA_SCH_001715,1496.0,1127.0,930.0,75.3,82.5,2015
NGA_SCH_010791,1573.0,1081.0,765.0,68.7,70.8,2015
NGA_SCH_005267,1272.0,1182.0,962.0,92.9,81.4,2015
NGA_SCH_007163,1471.0,896.0,809.0,60.9,90.3,2015
NGA_SCH_007283,1553.0,1108.0,1003.0,71.3,90.5,2015
NGA_SCH_008721,287.0,152.0,116.0,53.0,76.3,2015
NGA_SCH_010744,76.0,59.0,46.0,77.6,78.0,2015
NGA_SCH_004123,541.0,277.0,252.0,51.2,91.0,2015
NGA_SCH_000641,1811.0,1093.0,994.0,60.4,90.9,2015
NGA_SCH_002386,1104.0,955.0,571.2093307527758,86.5,59.8,2015
NGA_SCH_002212,945.0,692.0,490.0,73.2,70.8,2015
NGA_SCH_009397,692.0,427.0,319.0,61.7,74.7,2015
NGA_SCH_010700,168.0,112.0,83.0,66.7,74.1,2015
NGA_SCH_002224,1297.0,971.0,808.0,74.9,83.2,2015
NGA_SCH_003484,1114.0,738.0,654.0,66.2,88.6,2015
NGA_SCH_000473,1563.0,804.0,695.0,51.4,86.4,2015
NGA_SCH_011444,1280.0,630.0,566.0,49.2,89.8,2015
NGA_SCH_004969,452.0,230.0,196.0,50.9,85.2,2015
NGA_SCH_004583,1863.0,893.0,661.0,47.9,74.0,2015
NGA_SCH_005871,1996.0,1442.0,1057.0,72.2,73.3,2015
NGA_SCH_003512,1994.0,1066.0,998.0,53.5,93.6,2015
NGA_SCH_001073,544.0,480.0,350.0,88.2,72.9,2015
NGA_SCH_005695,548.0,273.0,223.0,49.8,81.7,2015
NGA_SCH_003965,704.0,337.0,237.0,47.9,70.3,2015
NGA_SCH_002944,990.0,474.0,399.0,47.9,84.2,2015
NGA_SCH_000310,1029.4926440539436,541.0,434.0,52.6,80.2,2015
NGA_SCH_001690,1834.0,1462.0,1326.0,79.7,90.7,2015
NGA_SCH_004974,172.0,158.0,148.0,91.9,93.7,2015
NGA_SCH_001181,674.0,483.0,341.0,71.7,70.6,2015
NGA_SCH_000535,716.0,408.0,305.0,57.0,74.8,2015
NGA_SCH_003475,707.0,587.0,501.0,83.0,85.3,2015
NGA_SCH_000021,1902.0,1098.0,780.0,57.7,71.0,2015
NGA_SCH_004724,745.0,691.9029827954799,420.0,92.9,60.7,2015
NGA_SCH_010621,800.0,511.0,405.0,63.9,79.3,2015
NGA_SCH_004872,1029.4926440539436,501.0,449.0,48.7,89.6,2015
NGA_SCH_005697,695.0,422.0,380.0,60.7,90.0,2015
NGA_SCH_004684,1110.0,997.0,738.0,89.8,74.0,2015
NGA_SCH_008725,476.0,275.0,232.0,57.8,84.4,2015
NGA_SCH_005743,1507.0,724.0,613.0,48.0,84.7,2015
NGA_SCH_001360,1932.0,1399.0,1200.0,72.4,85.8,2015
NGA_SCH_009926,907.0,810.0,722.0,89.3,89.1,2015
NGA_SCH_007911,1293.0,540.0,390.0,41.8,72.2,2015
NGA_SCH_005214,1702.0,1587.0,1246.0,93.2,78.5,2015
NGA_SCH_000013,1126.0,618.0,581.0,54.9,94.0,2015
NGA_SCH_006489,1982.0,806.0,686.0,40.7,85.1,2015
NGA_SCH_007982,557.0,458.0,429.0,82.2,93.7,2015
NGA_SCH_008666,1262.0,1098.0,870.0,87.0,79.2,2015
NGA_SCH_001702,1719.0,1576.0,1293.0,91.7,82.0,2015
NGA_SCH_000917,66.0,57.0,53.0,86.4,93.0,2015
NGA_SCH_001419,504.0,221.0,200.0,43.8,90.5,2015
NGA_SCH_001556,68.0,30.0,22.0,44.1,73.3,2015
NGA_SCH_006572,626.0,395.0,317.0,63.1,80.3,2015
NGA_SCH_003463,105.0,53.0,45.0,50.5,84.9,2015
NGA_SCH_001459,1508.0,1344.0,985.0,89.1,73.3,2015
NGA_SCH_001875,1984.0,1559.0,1124.0,78.6,72.1,2015
NGA_SCH_004073,1209.0,816.0,685.0,67.5,83.9,2015
NGA_SCH_003530,76.0,66.0,47.0,86.8,71.2,2015
NGA_SCH_007704,1755.0,1020.0,856.0,58.1,83.9,2015
NGA_SCH_004342,283.0,249.0,178.0,88.0,71.5,2015
NGA_SCH_005079,321.0,190.0,139.0,59.2,73.2,2015
NGA_SCH_000726,1070.0,583.0,441.0,54.5,75.6,2015
NGA_SCH_002271,877.0,789.0,722.0,90.0,91.5,2015
NGA_SCH_006010,1009.0,719.0,553.0,71.3,76.9,2015
NGA_SCH_003122,665.0,345.0,320.0,51.9,92.8,2015
NGA_SCH_010104,1674.0,710.0,609.0,42.4,85.8,2015
NGA_SCH_000132,808.0,427.0,374.0,52.8,87.6,2015
NGA_SCH_005270,1775.0,1169.0,844.0,65.9,72.2,2015
NGA_SCH_000958,319.0,182.0,138.0,57.1,75.8,2015
NGA_SCH_000042,76.0,68.0,62.0,89.5,91.2,2015
NGA_SCH_002712,1903.0,1673.0,1304.0,87.9,77.9,2015
NGA_SCH_008771,239.0,147.0,131.0,61.5,89.1,2015
NGA_SCH_009826,1790.0,768.0,557.0,42.9,72.5,2015
NGA_SCH_003873,1600.0,704.0,506.0,44.0,71.9,2015
NGA_SCH_007873,88.0,57.0,41.0,64.8,71.9,2015
NGA_SCH_001555,940.0,582.0,411.0,61.9,70.6,2015
NGA_SCH_004504,1854.0,1096.0,783.0,59.1,71.4,2015
NGA_SCH_011735,1572.0,1367.0,1041.0,87.0,76.2,2015
NGA_SCH_011364,897.0,836.0,685.0,93.2,81.9,2015
NGA_SCH_003536,371.0,306.0,232.0,82.5,75.8,2015
NGA_SCH_001423,151.0,102.0,95.0,67.5,93.1,2015
NGA_SCH_003830,481.0,250.0,225.0,52.0,90.0,2015
NGA_SCH_008441,1211.0,513.0,369.0,42.4,71.9,2015
NGA_SCH_001279,1087.0,834.0,660.0,76.7,79.1,2015
NGA_SCH_010135,1636.0,848.0,744.0,51.8,87.7,2015
NGA_SCH_007824,1071.0,614.0,512.0,57.3,83.4,2015
NGA_SCH_005047,736.0,692.0,652.0,94.0,94.2,2015
NGA_SCH_007256,1772.0,864.0,794.0,48.8,91.9,2015
NGA_SCH_003798,630.0,563.0,511.0,89.4,90.8,2015
NGA_SCH_006984,1486.0,645.0,606.0,43.4,94.0,2015
NGA_SCH_009583,1681.0,691.9029827954799,771.0,41.2,111.4,2015
NGA_SCH_003998,1836.0,1715.0,1391.0,93.4,81.1,2015
NGA_SCH_007315,135.0,83.0,67.0,61.5,80.7,2015
NGA_SCH_001620,1995.0,1860.0,1728.0,93.2,92.9,2015
NGA_SCH_010596,544.0,421.0,386.0,77.4,91.7,2015
NGA_SCH_010444,288.0,141.0,122.0,49.0,86.5,2015
NGA_SCH_004875,274.0,214.0,152.0,78.1,71.0,2015
NGA_SCH_006414,1177.0,712.0,652.0,60.5,91.6,2015
NGA_SCH_010754,205.0,136.0,108.0,66.3,79.4,2015
NGA_SCH_009520,220.0,123.0,94.0,55.9,76.4,2015
NGA_SCH_005825,1450.0,869.0,687.0,59.9,79.1,2015
NGA_SCH_010128,1984.0,1309.0,1079.0,66.0,82.4,2015
NGA_SCH_002522,1243.0,953.0,739.0,76.7,77.5,2015
NGA_SCH_005727,1884.0,1521.0,1319.0,80.7,86.7,2015
NGA_SCH_003559,1836.0,1380.0,1009.0,75.2,73.1,2015
NGA_SCH_001260,1916.0,1147.0,854.0,59.9,74.5,2015
NGA_SCH_008634,1128.0,972.0,732.0,86.2,75.3,2015
NGA_SCH_001712,347.0,234.0,167.0,67.4,71.4,2015
NGA_SCH_009494,138.0,119.0,97.0,86.2,81.5,2015
NGA_SCH_008754,251.0,138.0,119.0,55.0,86.2,2015
NGA_SCH_001747,1029.4926440539436,120.0,85.0,11.7,70.8,2015
NGA_SCH_004841,1981.0,1112.0,1017.0,56.1,91.5,2015
NGA_SCH_008639,133.0,95.0,89.0,71.4,93.7,2015
NGA_SCH_001232,893.0,759.0,609.0,85.0,80.2,2015
NGA_SCH_010658,647.0,448.0,371.0,69.2,82.8,2015
NGA_SCH_010787,1427.0,1101.0,930.0,77.2,84.5,2015
NGA_SCH_007986,500.0,207.0,156.0,41.4,75.4,2015
NGA_SCH_010294,1173.0,667.0,572.0,56.9,85.8,2015
NGA_SCH_003482,96.0,48.0,37.0,50.0,77.1,2015
NGA_SCH_009568,1714.0,1019.0,815.0,59.5,80.0,2015
NGA_SCH_007327,1770.0,864.0,695.0,48.8,80.4,2015
NGA_SCH_000868,1870.0,978.0,915.0,52.3,93.6,2015
NGA_SCH_008182,1855.0,1153.0,1047.0,62.2,90.8,2015
NGA_SCH_011078,427.0,378.0,269.0,88.5,71.2,2015
NGA_SCH_009113,1529.0,840.0,617.0,54.9,73.5,2015
NGA_SCH_003282,207.0,93.0,68.0,44.9,73.1,2015
NGA_SCH_007185,252.0,135.0,117.0,53.6,86.7,2015
